"match_id","leagueid","region","duration","first_blood_time","dire_score","radiant_score","radiant_team_id","dire_team_id","radiant_win","exp_15min","teamfight_duration","Tteamfight_deaths","teamfight_frequency","Strength_picked_r","Strength_banned_r","Strength_picked_d","Strength_banned_d","Intelligence_picked_r","Intelligence_banned_r","Intelligence_picked_d","Intelligence_banned_d","Universal_picked_r","Universal_banned_r","Universal_picked_d","Universal_banned_d"
7718482667,16059,3,1511,115,13,33,8629315,8629317,"True",-4351,307,26,7,0,0,1,1,2,0,2,0,2,7,1,5
7648367565,16109,3,1878,112,22,32,8936613,8850100,"True",-168,333,28,7,2,1,2,1,1,2,2,0,1,1,0,6
7987375523,16313,3,1868,139,56,28,9330493,9330489,"False",-3423,515,42,10,2,1,2,1,3,2,2,2,0,3,1,2
8094132943,17233,3,1649,118,34,27,9425660,8629324,"False",4365,347,28,7,1,2,1,1,1,4,1,3,2,1,2,2
8035484179,17366,8,1787,188,25,40,8993427,9586420,"True",-2707,417,36,9,2,1,0,2,1,1,1,1,1,3,3,1
7570212987,15819,3,1859,99,31,25,9018543,8893825,"False",-4352,350,32,8,2,3,2,0,1,3,2,3,1,1,1,2
7841477150,16881,6,2380,193,30,11,15,9247354,"False",-4022,141,11,3,2,1,1,5,0,0,2,0,2,3,1,1
7726888166,16059,3,1839,52,39,24,8629315,9425656,"False",-2725,565,46,12,1,0,2,0,1,1,1,0,2,4,1,7
7852820613,16635,3,1630,242,28,20,8970060,8936613,"False",-5350,320,25,7,1,0,0,0,3,0,2,0,0,7,2,7
7819560777,16427,3,2039,73,46,18,8254400,8605863,"False",-4917,367,33,9,2,1,2,0,1,0,1,1,0,4,2,2
7581213762,12903,8,2610,155,34,29,8415811,8862487,"False",-1055,377,34,9,1,1,2,0,2,0,1,2,0,2,2,2
7636189067,16404,8,2808,164,30,19,2576071,9366989,"False",-3148,208,20,4,2,1,1,4,1,0,1,2,1,2,0,1
8067309344,17367,2,2175,196,37,16,8910932,9381678,"False",2459,162,14,3,1,1,2,2,1,1,0,3,3,2,1,2
7653996658,15819,3,2147,147,40,23,8893837,8893825,"False",2293,250,25,6,2,1,2,4,1,3,2,1,1,1,0,2
8068242414,17233,3,2061,108,40,21,9425660,2443375,"False",2197,299,29,6,1,0,2,0,2,0,2,0,1,3,0,7
7966531854,17135,13,1576,76,31,13,9080405,8574561,"False",-2883,313,28,6,1,4,2,2,2,0,1,0,1,1,0,4
8053220881,16313,3,1523,97,30,20,8864178,8893837,"False",1013,343,29,7,2,3,2,3,2,1,2,1,0,2,1,0
7766209046,15922,5,1205,54,42,16,9302584,9401938,"False",-10577,581,47,10,0,0,1,0,1,0,3,0,1,5,1,4
7991690478,17111,3,2557,250,28,15,9449748,9403748,"False",-4624,248,19,5,1,3,0,3,1,0,2,1,2,1,2,3
7727949904,16109,3,2011,8,37,35,9025669,8957156,"False",2592,289,24,6,1,0,1,1,1,0,3,1,1,3,0,3
